date,id,amount_manner,location,location_id,observer_name,observer_id,validation,page
2024-05-18 09:23,310996130,"1  overvliegend, gehoord",Bazel - Bazelse Kooi (BAKO) (Oost-Vlaanderen),29915,Ward Van den Eynde,253490,onbekend,253
2024-05-18 09:20,310065407,1,Willebroek (Antwerpen),23354,Wim Van den Bossche,40394,goedgekeurd (automatische validatie),253
2024-05-18 09:12,310090770,1  overvliegend,Leest - Plateau van Leest (Antwerpen),29080,bert mestdagh,55561,onbekend,253
2024-05-18 08:47,310171865,"1  overvliegend, gezien en gehoord",Antwerpen - Schans Jeugdherberg (Antwerpen),191316,Emeric Debusschere,388435,onbekend,253
2024-05-18 08:23,310182384,7  gezien,Court-Saint-Etienne (Brabant Wallon),43447,Emile Van Dingenen,89344,goedgekeurd (automatische validatie),253
2024-05-18 08:20,310057232,1,Sint-Martens-Latem (Oost-Vlaanderen),24188,Guido Minnaert,40382,goedgekeurd (automatische validatie),253
2024-05-18 08:10,310241513,"1  adult, overvliegend, gezien",Pellenberg - Kliniek (Vlaams-Brabant),31041,Rijmenans Gilbert,47874,onbekend,253
2024-05-18 08:09,310110223,"1  adult, overvliegend, gezien en gehoord",Pellenberg - Kliniek (Vlaams-Brabant),31041,Christiaen Mous,99160,onbekend,253
2024-05-18 07:53,310051793,"2  overvliegend noord, gezien en gehoord",Zwijndrecht (Antwerpen),23282,Aimé Franssens,124254,onbekend,253
2024-05-18 07:34,310052565,1  roepend,Friche industrielle de la Martinoire (Hainaut),142786,Christophe Gruwier,41208,goedgekeurd (automatische validatie),253
2024-05-18 06:19,310047020,1,Zwijndrecht (Antwerpen),23282,Anton Cnudde,132941,goedgekeurd (automatische validatie),253
2024-05-18,327701916,1,Antwerpen - Statiekwartier (Dg) (Antwerpen),27160,Jef Tegenbos,114880,goedgekeurd (automatische validatie),253
2024-05-18,310944463,"5  adult, roepend, gezien en gehoord",Antwerpen-L.O. - Blokkersdijk (BD) (Antwerpen),29934,Willy Verschueren,47573,goedgekeurd (automatische validatie),253
2024-05-18,310229972,1,Blaasveld (Dg) (Antwerpen),27200,Wim Van den Bossche,40394,goedgekeurd (automatische validatie),253
2024-05-18,310065611,2,Blaasveld (Dg) (Antwerpen),27200,Wim Van den Bossche,40394,goedgekeurd (automatische validatie),254
2024-05-18,310065514,1,Willebroek (Antwerpen),23354,Wim Van den Bossche,40394,goedgekeurd (automatische validatie),254
2024-05-17 18:10,310011731,1,Willebroek (Antwerpen),23354,Wim Van den Bossche,40394,goedgekeurd (automatische validatie),254
2024-05-17 12:45,310187690,1  roepend,Marais d'Harchies - Prairies Vandenbussche (Hainaut),73187,Carlos D'Haeseleer,43797,onbekend,254
2024-05-17 12:01,309938096,1,Vilvoorde - Wachtbekkens (Vlaams-Brabant),107802,Francis Wyns,40973,goedgekeurd (automatische validatie),254
