location_name,location_id,province,province_id,municipality,municipality_id,location_type,page
Affluents brabançons de la Senne - N2000,713759,Brabant Wallon,25,Beersel,23231,Gebied,8
Affluents de la Meuse entre Huy et Flémalle - N2000,702078,Liège,22,Amay (entité),43815,Gebied,8
Affluents de l'Our entre Setz et Schoenberg - N2000,704081,Liège,22,Amel / Amblève (entité),43886,Gebied,8
Affluents du lac d'Eupen - N2000,704402,Liège,22,Eupen (entité),43769,Gebied,8
Afsnee - Assels - Muynckhammen,73624,Oost-Vlaanderen,16,Drongen (Dg),24110,Gebied,8
Afsnee - Begraafplaats,675636,Oost-Vlaanderen,16,Gent,24108,Gebied,8
Agimont,23701,Namur,24,Hastière (entité),43920,Deelgemeente,8
AGRIBIO,604722,Namur,24,Havelange (entité),43884,Gebied,8
AI Linguette (Saint-Hubert),179372,Luxembourg,26,Saint-Hubert (entité),43939,Gebied,8
Aiguilles de Chaleux (Houyet),179336,Namur,24,Houyet (entité),43919,Gebied,8
Aineffe,42304,Liège,22,Faimes (entité),43770,Deelgemeente,8
Aisances de Verlaine - est,73120,Luxembourg,26,Durbuy (entité),43877,Gebied,8
Aisances de Verlaine - ouest,73119,Luxembourg,26,Durbuy (entité),43877,Gebied,8
Aische-en-Refail,42560,Namur,24,Eghezée (entité),43787,Deelgemeente,8
Aische-En-Refail (Etangs),42928,Namur,24,Eghezée (entité),43787,Gebied,8
Aiseau,41906,Hainaut,23,Aiseau-Presles (entité),43875,Deelgemeente,8
Aiseau-Presles (entité),43875,Hainaut,23,—,,Gemeente,8
Aisemont,42567,Namur,24,Fosses-la-Ville (entité),43879,Deelgemeente,8
Aisemont (Carrières),42952,Namur,24,Fosses-la-Ville (entité),43879,Gebied,8
Aix-Sur-Cloie (village),71860,Luxembourg,26,Aubange (entité),43968,Gebied,8
Akkers Lindeveld (AKLV),31514,West-Vlaanderen,15,Beernem,24066,Gebied,8
Akkers Pompje (APOB),31319,West-Vlaanderen,15,Oudenburg,24026,Gebied,8
Akkers Sint-Pietersveld (AKSV),31513,West-Vlaanderen,15,Ruiselede,24069,Gebied,8
Akkers ten (zuid)Westen van Wijnendale (AWWD),28880,West-Vlaanderen,15,Ichtegem,24028,Gebied,8
Al Florée (réserve naturelle),252436,Namur,24,Philippeville (entité),43926,Gebied,9
Al Fosse (Rochefort),180042,Namur,24,Rochefort (entité),43923,Gebied,9
Al Justice (Rochefort),179897,Namur,24,Rochefort (entité),43923,Gebied,9
Albertdok (Dg),27139,Antwerpen,17,Antwerpen 3 (Dg),23278,Deelgemeente,9
Aldeneik - Uiterwaarden,28686,Limburg,14,Maaseik,23098,Gebied,9
Aldeneik - Uiterwaarden - Grindgaten,29752,Limburg,14,Maaseik,23098,Gebied,9
Aldeneik - Uiterwaarden - Klauwenhof Landbouwzone,29751,Limburg,14,Maaseik,23098,Gebied,9
Alken,23446,Limburg,14,Alken,23446,Gemeente,9
Alken - Groot-Peteren,29686,Limburg,14,Alken,23446,Gebied,9
Alken - Lampse Beemden,29680,Limburg,14,Alken,23446,Gebied,9
Alken - Nachtegaal,29675,Limburg,14,Alken,23446,Gebied,9
Alken - Plein,29681,Limburg,14,Alken,23446,Gebied,9
Alken/Hasselt - Mombeekvallei,24287,Limburg,14,Alken,23446,Gebied,9
Alkerveld,29684,Limburg,14,Wellen,23481,Gebied,9
Alle,42795,Namur,24,Vresse-sur-Semois (entité),43951,Deelgemeente,9
Alleur,23558,Liège,22,Ans (entité),43743,Deelgemeente,9
Alouette,73101,Luxembourg,26,Hotton (entité),43910,Gebied,9
Alsemberg - Begraafplaats,604885,Vlaams-Brabant,20,Beersel,23231,Gebied,9
Alsemberg - Begraafplaats Vorst,604884,Vlaams-Brabant,20,Beersel,23231,Gebied,9
Alsemberg - Kesterbeekmoeras,24417,Vlaams-Brabant,20,Beersel,23231,Gebied,9
Alsemberg (Dg),23233,Vlaams-Brabant,20,Beersel,23231,Deelgemeente,9
Altembroek,29743,Limburg,14,Voeren,23474,Gebied,9
Altenbroek,24298,Limburg,14,Voeren,23474,Gebied,9
Al'Vau,241325,Hainaut,23,Braine-le-Comte (entité),43775,Gebied,9
Alveringem,24061,West-Vlaanderen,15,—,,Gemeente,9
Amay,43508,Liège,22,Amay (entité),43815,Deelgemeente,10
Amay (entité),43815,Liège,22,Amay (entité),43815,Gemeente,10
Amberloup,42332,Luxembourg,26,Sainte-Ode (entité),43940,Deelgemeente,10
Amblève - tronçon de Aywaille à Coo,72907,Liège,22,Stoumont (entité),43862,Gebied,10
Amblève - tronçon de Comblain-au-Pont à Aywaille,72904,Liège,22,Aywaille (entité),43842,Gebied,10
Amblève - tronçon de Coo à Warche,72903,Liège,22,Stavelot (entité),43856,Gebied,10
Amblève - tronçon de Ligneuville à Amel,72909,Liège,22,Amel / Amblève (entité),43886,Gebied,10
Amblève - tronçon de Warche à Ligneuville,72908,Liège,22,Malmedy (entité),43841,Gebied,10
Ambly,42360,Luxembourg,26,Nassogne (entité),43929,Deelgemeente,10
Ambresin,42298,Liège,22,Wasseiges (entité),43788,Deelgemeente,10
Ambresin (Etang),43116,Liège,22,Wasseiges (entité),43788,Gebied,10
Amel / Amblève,42223,Liège,22,Amel / Amblève (entité),43886,Deelgemeente,10
Amel / Amblève (entité),43886,Liège,22,Amel / Amblève (entité),43886,Gemeente,10
Amonines,42345,Luxembourg,26,Erezée (entité),43907,Deelgemeente,10
Amougies,42093,Hainaut,23,Mont-de-l'Enclus (entité),43971,Deelgemeente,10
Ampsin,42099,Liège,22,Amay (entité),43815,Deelgemeente,10
Anc. Carrière des Six Maisons,241264,Liège,22,Anthisnes (entité),43844,Gebied,10
Ancien canal - de Péronnes-lez-Antoing à Callenelle,72784,Hainaut,23,Antoing (entité),43816,Gebied,10
Ancien canal - de Ronquières à Seneffe,72806,Hainaut,23,Seneffe (entité),43812,Gebied,10
Ancien canal - Harchies-Bernissart,72789,Hainaut,23,Bernissart (entité),43851,Gebied,10
Ancien Canal Bioblitz,679596,Hainaut,23,Seneffe (entité),43812,Gebied,10
Ancien canal Comines Bioblitz,691457,Hainaut,23,Comines-Warneton (entité),43713,Gebied,10
Ancien canal du centre - tronçon de Houdeng-Goegnies à Havré/Thieu,72807,Hainaut,23,La Louvière (entité),43845,Gebied,10
Ancien charbonnage Vedette,241697,Hainaut,23,Boussu (entité),43871,Gebied,10
ancien chemin de fer - Ellezelles,122306,Hainaut,23,Ellezelles (entité),43718,Gebied,10
ancien chemin de fer - Flobecq,122307,Hainaut,23,Flobecq (entité),43717,Gebied,11
Ancien circuit automobile de Nivelles (Nivelles),179634,Brabant Wallon,25,Nivelles (entité),43795,Gebied,11
Ancien décanteur d'Oreye (Oreye),179745,Liège,22,Oreye (entité),43732,Gebied,11
Ancien dépotoir de Biesme (Mettet),179153,Namur,24,Mettet (entité),43895,Gebied,11
Ancien Fort de Loncin,241241,Liège,22,Ans (entité),43743,Gebied,11
Ancien méandre de la Sennette (Ittre),179152,Brabant Wallon,25,Ittre (entité),43772,Gebied,11
Ancien Moto-Cross - Bouillon,671932,Luxembourg,26,Bouillon (entité),43954,Gebied,11
Ancien Moulin de Picheux-Bas,241735,Liège,22,Stoumont (entité),43862,Gebied,11
Ancien terril du Bonnet (Saint-Nicolas),179783,Liège,22,Saint-Nicolas (entité),43784,Gebied,11
Ancien triangle forestier du centre Verhaeren,247126,Hainaut,23,Honnelles (entité),43893,Gebied,11
Ancienne aire de triage et bassins de décantation de Hornu (Boussu),179440,Hainaut,23,Boussu (entité),43871,Gebied,11
Ancienne Briqueterie d'Arlon (Arlon),179458,Luxembourg,26,Arlon (entité),43962,Gebied,11
Ancienne Briqueterie de Ghlin (Mons),179956,Hainaut,23,Mons (entité),43852,Gebied,11
Ancienne carrière Carmeuse de Sclaigneaux (Andenne),179638,Namur,24,Andenne (entité),43839,Gebied,11
Ancienne carrière d'Aublain,241294,Namur,24,Couvin (entité),43932,Gebied,11
Ancienne carrière de Denée,241703,Namur,24,Anhée (entité),43903,Gebied,11
Ancienne carrière de la forêt communale de Vencimont,241628,Namur,24,Gedinne (entité),43942,Gebied,11
Ancienne Carrière de la Montagne Sainte-Croix (Dinant),179351,Namur,24,Dinant (entité),43913,Gebied,11
Ancienne Carrière de la Vaucelle (Couvin),179410,Namur,24,Couvin (entité),43932,Gebied,11
Ancienne Carrière de l'Eau Bleue (La Bruyère),179327,Namur,24,La Bruyère (entité),43826,Gebied,11
